Post Link,Creation Date,Cumulative questions
54837,2008-09-10 17:49:24,1
66687,2008-09-15 20:35:48,2
66776,2008-09-15 20:46:31,3
70993,2008-09-16 10:21:50,4
309963,2008-11-21 19:51:10,5
757543,2009-04-16 18:53:23,6
960334,2009-06-06 19:17:54,7
1361396,2009-09-01 09:08:33,8
1739886,2009-11-16 03:28:00,9
1782296,2009-11-23 10:35:51,10
1814795,2009-11-29 06:02:31,11
2120413,2010-01-22 20:51:27,12
2404657,2010-03-08 20:54:08,13
2965061,2010-06-03 10:30:11,14
3084188,2010-06-21 11:24:28,15
3302450,2010-07-21 18:19:42,16
3545698,2010-08-23 08:07:21,17
4032158,2010-10-27 10:23:08,18
4216619,2010-11-18 15:42:20,19
5567091,2011-04-06 13:25:35,20
5571311,2011-04-06 18:35:45,21
5582486,2011-04-07 14:10:34,22
5804033,2011-04-27 12:23:39,23
6017837,2011-05-16 13:03:24,24
6666480,2011-07-12 15:10:17,25
6818451,2011-07-25 15:26:59,26
6946995,2011-08-04 18:54:08,27
7007462,2011-08-10 07:48:49,28
7046127,2011-08-12 20:47:40,29
7341332,2011-09-07 22:39:26,30
7447019,2011-09-16 15:31:36,31
7491866,2011-09-20 21:13:27,32
7609930,2011-09-30 11:51:45,33
8050315,2011-11-08 12:26:14,34
8088708,2011-11-11 01:39:26,35
8671176,2011-12-29 17:34:42,36
9273581,2012-02-14 08:11:47,37
9292015,2012-02-15 10:55:05,38
9327806,2012-02-17 11:57:12,39
9375655,2012-02-21 10:11:52,40
9375959,2012-02-21 10:33:14,41
9377104,2012-02-21 11:51:51,42
9390370,2012-02-22 06:55:51,43
9421047,2012-02-23 20:48:45,44
9442721,2012-02-25 09:04:12,45
9442925,2012-02-25 09:44:33,46
9521085,2012-03-01 17:34:51,47
9695639,2012-03-14 03:46:35,48
9918628,2012-03-29 03:16:38,49
9924396,2012-03-29 11:26:27,50
9971865,2012-04-02 06:39:35,51
9990035,2012-04-03 08:54:46,52
10103667,2012-04-11 09:55:18,53
10177632,2012-04-16 16:02:42,54
10355953,2012-04-27 18:30:24,55
11287431,2012-07-02 03:14:38,56
11520583,2012-07-17 10:25:54,57
11771196,2012-08-02 04:45:19,58
12105312,2012-08-24 07:58:28,59
12281679,2012-09-05 12:41:45,60
12399252,2012-09-13 04:05:15,61
12560429,2012-09-24 07:16:13,62
12712108,2012-10-03 15:46:40,63
12917177,2012-10-16 14:36:48,64
13064508,2012-10-25 08:23:46,65
13486189,2012-11-21 04:08:48,66
13807495,2012-12-10 19:08:12,67
13907129,2012-12-17 01:10:06,68
13976681,2012-12-20 16:41:17,69
14026640,2012-12-25 00:08:24,70
14142772,2013-01-03 16:17:12,71
14160563,2013-01-04 16:05:46,72
14247313,2013-01-09 22:02:10,73
14306957,2013-01-13 18:54:34,74
14422574,2013-01-20 07:31:03,75
